genre,music_decade,music_vibe,listening_frequency,concert
K-Pop,2020s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
K-Pop,2020s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
Traditional & Folk Music,2000s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
Pop,2010s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
Indie/Alternative,1980s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
Pop,2010s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
J-Pop,2020s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
Pop,2000s,Emotional and Deep,Occasionally,"No, I prefer not to attend concerts"
Metal,1970s,Emotional and Deep,Rarely,"Sometimes, depending on the artist or event"
Pop,2020s,Romantic and Smooth,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
Pop,1990s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
K-Pop,2020s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
Pop,2010s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
Jazz,1990s,Upbeat and Energetic,Rarely,"Sometimes, depending on the artist or event"
Rock,1990s,Emotional and Deep,Frequently,"Yes, I love attending concerts"
Pop,2010s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
EDM (Electronic Dance Music),2000s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
Dangdut,2020s,Emotional and Deep,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
Pop,2020s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
Rock,2000s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
Pop Indonesia,2020s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
Punk,2010s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
K-Pop,2020s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
Indie/Alternative,2010s,Emotional and Deep,Frequently,"No, I prefer not to attend concerts"
EDM (Electronic Dance Music),2010s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
Dangdut,1970s,Dark and Intense,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
K-Pop,2020s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
J-Pop,2010s,Upbeat and Energetic,Occasionally,"Sometimes, depending on the artist or event"
Pop,2000s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
Pop,2020s,Romantic and Smooth,Rarely,"Yes, I love attending concerts"
Rock,1990s,Dark and Intense,Frequently,"Sometimes, depending on the artist or event"
Jazz,1990s,Romantic and Smooth,Occasionally,"Yes, I love attending concerts"
Jazz,1990s,Relaxing and Chill,Occasionally,"No, I prefer not to attend concerts"
J-Pop,2010s,Romantic and Smooth,Frequently,"No, I prefer not to attend concerts"
Pop,1990s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
Metal,2010s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
Pop,2010s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
K-Pop,2010s,Relaxing and Chill,Frequently,"Yes, I love attending concerts"
Pop,2020s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
Indie/Alternative,1990s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
Country,1990s,Romantic and Smooth,Frequently,"Yes, I love attending concerts"
EDM (Electronic Dance Music),2020s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
K-Pop,2020s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
K-Pop,2010s,Emotional and Deep,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
K-Pop,2010s,Upbeat and Energetic,Frequently,"Yes, I love attending concerts"
Ballad,2010s,Emotional and Deep,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
Pop,2010s,Romantic and Smooth,Frequently,"Yes, I love attending concerts"
Pop,2010s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
Hip-Hop/Rap,2010s,Dark and Intense,Frequently,"No, I prefer not to attend concerts"
Pop,2020s,Emotional and Deep,Occasionally,"Sometimes, depending on the artist or event"
Pop Indonesia,2010s,Romantic and Smooth,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
Pop,2000s,Romantic and Smooth,Frequently,"No, I prefer not to attend concerts"
Hip-Hop/Rap,2010s,Upbeat and Energetic,Frequently,"No, I prefer not to attend concerts"
EDM (Electronic Dance Music),2010s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
classical,2020s,Dark and Intense,Rarely,"Yes, I love attending concerts"
classical,1990s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
classical,1990s,Romantic and Smooth,Never,"No, I prefer not to attend concerts"
dangdut,2020s,Emotional and Deep,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
blues,2000s,Relaxing and Chill,Occasionally,"No, I prefer not to attend concerts"
ballad,1970s,Dark and Intense,Rarely,"Yes, I love attending concerts"
jazz,2010s,Relaxing and Chill,Rarely,"No, I prefer not to attend concerts"
punk,2020s,Romantic and Smooth,Frequently,"Yes, I love attending concerts"
edm,1980s,Relaxing and Chill,Rarely,"Yes, I love attending concerts"
pop,2020s,Emotional and Deep,Rarely,"Sometimes, depending on the artist or event"
rock,2020s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
traditional & folk music,1980s,Dark and Intense,Never,"Sometimes, depending on the artist or event"
dangdut,1980s,Romantic and Smooth,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
edm,1970s,Upbeat and Energetic,Never,"No, I prefer not to attend concerts"
edm,2020s,Upbeat and Energetic,Occasionally,"Yes, I love attending concerts"
j-pop,2020s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
hip-hop/rap,1990s,Relaxing and Chill,Never,"No, I prefer not to attend concerts"
rock,1980s,Emotional and Deep,Frequently,"Yes, I love attending concerts"
traditional & folk music,1970s,Emotional and Deep,Never,"Sometimes, depending on the artist or event"
soul,1970s,Dark and Intense,Frequently,"Sometimes, depending on the artist or event"
k-pop,2000s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
pop,1970s,Dark and Intense,Rarely,"Yes, I love attending concerts"
punk,2010s,Dark and Intense,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
hip-hop/rap,2000s,Upbeat and Energetic,Never,"No, I prefer not to attend concerts"
reggae,2020s,Romantic and Smooth,Never,"No, I prefer not to attend concerts"
edm,2020s,Upbeat and Energetic,Never,"Sometimes, depending on the artist or event"
indie/alternative,2020s,Dark and Intense,Frequently,"Sometimes, depending on the artist or event"
j-pop,2010s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
pop,2000s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
punk,2000s,Upbeat and Energetic,Occasionally,"Sometimes, depending on the artist or event"
dangdut,1990s,Romantic and Smooth,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
classical,1980s,Dark and Intense,Never,"Yes, I love attending concerts"
indie/alternative,2020s,Dark and Intense,Rarely,"No, I prefer not to attend concerts"
edm,1970s,Dark and Intense,Frequently,"Yes, I love attending concerts"
pop indonesia,1970s,Dark and Intense,Rarely,"Sometimes, depending on the artist or event"
ballad,2020s,Dark and Intense,Never,"Yes, I love attending concerts"
edm,2000s,Relaxing and Chill,Occasionally,"Sometimes, depending on the artist or event"
pop,2000s,Relaxing and Chill,Never,"Sometimes, depending on the artist or event"
country,1970s,Romantic and Smooth,Never,"No, I prefer not to attend concerts"
pop indonesia,1980s,Dark and Intense,Rarely,"Yes, I love attending concerts"
soul,1990s,Relaxing and Chill,Frequently,"Yes, I love attending concerts"
metal,1990s,Upbeat and Energetic,Never,"No, I prefer not to attend concerts"
pop,1990s,Relaxing and Chill,Frequently,"Yes, I love attending concerts"
j-pop,1970s,Emotional and Deep,Never,"Sometimes, depending on the artist or event"
pop,1990s,Romantic and Smooth,Never,"No, I prefer not to attend concerts"
jazz,2000s,Relaxing and Chill,Rarely,"Yes, I love attending concerts"
ballad,1980s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
pop indonesia,2020s,Upbeat and Energetic,Frequently,"Yes, I love attending concerts"
pop indonesia,1970s,Upbeat and Energetic,Frequently,"Yes, I love attending concerts"
reggae,1990s,Romantic and Smooth,Rarely,"No, I prefer not to attend concerts"
reggae,1990s,Emotional and Deep,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
soul,2000s,Relaxing and Chill,Occasionally,"Yes, I love attending concerts"
ballad,1990s,Emotional and Deep,Never,"Yes, I love attending concerts"
punk,1970s,Emotional and Deep,Rarely,"No, I prefer not to attend concerts"
indie/alternative,1990s,Emotional and Deep,Occasionally,"No, I prefer not to attend concerts"
k-pop,1970s,Upbeat and Energetic,Frequently,"Yes, I love attending concerts"
reggae,1980s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
classical,2000s,Upbeat and Energetic,Rarely,"Yes, I love attending concerts"
edm,1990s,Emotional and Deep,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
classical,1970s,Emotional and Deep,Occasionally,"No, I prefer not to attend concerts"
ballad,1990s,Romantic and Smooth,Rarely,"No, I prefer not to attend concerts"
rock,1990s,Upbeat and Energetic,Never,"Yes, I love attending concerts"
pop indonesia,2010s,Upbeat and Energetic,Occasionally,"Sometimes, depending on the artist or event"
metal,2010s,Upbeat and Energetic,Never,"Sometimes, depending on the artist or event"
indie/alternative,1990s,Romantic and Smooth,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
jazz,1990s,Emotional and Deep,Frequently,"No, I prefer not to attend concerts"
dangdut,2020s,Relaxing and Chill,Never,"Yes, I love attending concerts"
edm,1990s,Dark and Intense,Occasionally,"Sometimes, depending on the artist or event"
classical,2010s,Dark and Intense,Frequently,"Yes, I love attending concerts"
pop,2020s,Emotional and Deep,Never,"Sometimes, depending on the artist or event"
k-pop,1970s,Romantic and Smooth,Never,"Sometimes, depending on the artist or event"
punk,2020s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
soul,2020s,Emotional and Deep,Occasionally,"Sometimes, depending on the artist or event"
country,1970s,Emotional and Deep,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
country,2010s,Dark and Intense,Frequently,"Yes, I love attending concerts"
rock,1990s,Upbeat and Energetic,Frequently,"Yes, I love attending concerts"
r&b,2000s,Emotional and Deep,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
j-pop,1990s,Relaxing and Chill,Frequently,"Yes, I love attending concerts"
punk,1990s,Upbeat and Energetic,Occasionally,"Sometimes, depending on the artist or event"
classical,1980s,Romantic and Smooth,Rarely,"Yes, I love attending concerts"
pop indonesia,1980s,Upbeat and Energetic,Occasionally,"No, I prefer not to attend concerts"
edm,1980s,Dark and Intense,Occasionally,"No, I prefer not to attend concerts"
r&b,2010s,Emotional and Deep,Occasionally,"Sometimes, depending on the artist or event"
indie/alternative,2020s,Dark and Intense,Frequently,"Yes, I love attending concerts"
soul,2020s,Emotional and Deep,Rarely,"No, I prefer not to attend concerts"
pop indonesia,1970s,Upbeat and Energetic,Rarely,"Sometimes, depending on the artist or event"
r&b,1970s,Upbeat and Energetic,Never,"Sometimes, depending on the artist or event"
reggae,1970s,Dark and Intense,Rarely,"Yes, I love attending concerts"
j-pop,1970s,Upbeat and Energetic,Frequently,"Yes, I love attending concerts"
r&b,1980s,Romantic and Smooth,Rarely,"No, I prefer not to attend concerts"
j-pop,2010s,Romantic and Smooth,Frequently,"Yes, I love attending concerts"
pop indonesia,1970s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
jazz,2000s,Romantic and Smooth,Rarely,"Sometimes, depending on the artist or event"
punk,2020s,Romantic and Smooth,Never,"Sometimes, depending on the artist or event"
r&b,1970s,Relaxing and Chill,Never,"Yes, I love attending concerts"
metal,1990s,Dark and Intense,Never,"Yes, I love attending concerts"
reggae,1990s,Dark and Intense,Rarely,"No, I prefer not to attend concerts"
r&b,1990s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
edm,1980s,Upbeat and Energetic,Never,"No, I prefer not to attend concerts"
reggae,2010s,Emotional and Deep,Frequently,"Sometimes, depending on the artist or event"
classical,2020s,Relaxing and Chill,Occasionally,"No, I prefer not to attend concerts"
classical,2020s,Romantic and Smooth,Frequently,"Sometimes, depending on the artist or event"
rock,1990s,Dark and Intense,Never,"Yes, I love attending concerts"
traditional & folk music,1980s,Emotional and Deep,Never,"No, I prefer not to attend concerts"
punk,1990s,Emotional and Deep,Never,"No, I prefer not to attend concerts"
r&b,1980s,Relaxing and Chill,Never,"Yes, I love attending concerts"
traditional & folk music,1980s,Dark and Intense,Never,"Sometimes, depending on the artist or event"
reggae,1990s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
pop,1990s,Upbeat and Energetic,Rarely,"Yes, I love attending concerts"
reggae,1980s,Relaxing and Chill,Never,"Yes, I love attending concerts"
hip-hop/rap,1990s,Emotional and Deep,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
j-pop,2010s,Romantic and Smooth,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
edm,1990s,Emotional and Deep,Frequently,"Sometimes, depending on the artist or event"
indie/alternative,1990s,Relaxing and Chill,Never,"No, I prefer not to attend concerts"
pop,2020s,Dark and Intense,Never,"Sometimes, depending on the artist or event"
ballad,2010s,Romantic and Smooth,Rarely,"Sometimes, depending on the artist or event"
reggae,2020s,Romantic and Smooth,Rarely,"No, I prefer not to attend concerts"
punk,2020s,Upbeat and Energetic,Rarely,"No, I prefer not to attend concerts"
dangdut,1990s,Upbeat and Energetic,Never,"Yes, I love attending concerts"
blues,1970s,Dark and Intense,Never,"Sometimes, depending on the artist or event"
punk,2010s,Upbeat and Energetic,Occasionally,"Sometimes, depending on the artist or event"
hip-hop/rap,1980s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
punk,1990s,Romantic and Smooth,Frequently,"Sometimes, depending on the artist or event"
traditional & folk music,1990s,Dark and Intense,Rarely,"Sometimes, depending on the artist or event"
dangdut,2000s,Relaxing and Chill,Rarely,"No, I prefer not to attend concerts"
classical,2020s,Emotional and Deep,Frequently,"No, I prefer not to attend concerts"
dangdut,1990s,Emotional and Deep,Frequently,"No, I prefer not to attend concerts"
dangdut,2000s,Upbeat and Energetic,Never,"Sometimes, depending on the artist or event"
pop,2020s,Relaxing and Chill,Rarely,"No, I prefer not to attend concerts"
traditional & folk music,1980s,Emotional and Deep,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
traditional & folk music,1970s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
hip-hop/rap,2010s,Upbeat and Energetic,Never,"Sometimes, depending on the artist or event"
traditional & folk music,1990s,Dark and Intense,Frequently,"Sometimes, depending on the artist or event"
soul,1990s,Relaxing and Chill,Frequently,"Yes, I love attending concerts"
classical,2000s,Upbeat and Energetic,Rarely,"Sometimes, depending on the artist or event"
punk,2020s,Emotional and Deep,Rarely,"Yes, I love attending concerts"
traditional & folk music,2020s,Emotional and Deep,Occasionally,"Sometimes, depending on the artist or event"
k-pop,2000s,Relaxing and Chill,Occasionally,"Sometimes, depending on the artist or event"
reggae,1990s,Romantic and Smooth,Occasionally,"Yes, I love attending concerts"
jazz,2000s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
k-pop,2010s,Emotional and Deep,Never,"No, I prefer not to attend concerts"
rock,1990s,Romantic and Smooth,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
country,1990s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
edm,1980s,Emotional and Deep,Rarely,"Sometimes, depending on the artist or event"
dangdut,1980s,Dark and Intense,Occasionally,"No, I prefer not to attend concerts"
pop,1990s,Romantic and Smooth,Occasionally,"Yes, I love attending concerts"
metal,2020s,Emotional and Deep,Never,"Sometimes, depending on the artist or event"
rock,2020s,Dark and Intense,Occasionally,"Sometimes, depending on the artist or event"
j-pop,1990s,Dark and Intense,Occasionally,"Yes, I love attending concerts"
hip-hop/rap,1970s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
reggae,1970s,Romantic and Smooth,Rarely,"Sometimes, depending on the artist or event"
hip-hop/rap,2010s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
classical,2000s,Dark and Intense,Never,"Sometimes, depending on the artist or event"
classical,2000s,Upbeat and Energetic,Occasionally,"Sometimes, depending on the artist or event"
country,2020s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
jazz,1990s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
punk,2020s,Emotional and Deep,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
metal,1970s,Romantic and Smooth,Frequently,"Yes, I love attending concerts"
r&b,2020s,Upbeat and Energetic,Rarely,"No, I prefer not to attend concerts"
pop indonesia,2000s,Emotional and Deep,Never,"No, I prefer not to attend concerts"
traditional & folk music,2020s,Emotional and Deep,Rarely,"No, I prefer not to attend concerts"
pop indonesia,1970s,Relaxing and Chill,Rarely,"No, I prefer not to attend concerts"
metal,2020s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
country,2010s,Romantic and Smooth,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
metal,1970s,Relaxing and Chill,Rarely,"Sometimes, depending on the artist or event"
pop,1970s,Emotional and Deep,Occasionally,"Sometimes, depending on the artist or event"
pop,2020s,Emotional and Deep,Never,"No, I prefer not to attend concerts"
r&b,2010s,Upbeat and Energetic,Rarely,"No, I prefer not to attend concerts"
j-pop,1990s,Romantic and Smooth,Rarely,"No, I prefer not to attend concerts"
classical,2020s,Emotional and Deep,Occasionally,"Yes, I love attending concerts"
classical,1970s,Dark and Intense,Never,"Sometimes, depending on the artist or event"
pop indonesia,2020s,Emotional and Deep,Rarely,"No, I prefer not to attend concerts"
classical,2010s,Emotional and Deep,Never,"Yes, I love attending concerts"
classical,1990s,Dark and Intense,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
j-pop,1980s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
indie/alternative,1990s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
classical,1980s,Romantic and Smooth,Frequently,"Yes, I love attending concerts"
edm,1970s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
pop,1990s,Romantic and Smooth,Occasionally,"No, I prefer not to attend concerts"
soul,2000s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
hip-hop/rap,1970s,Relaxing and Chill,Rarely,"Yes, I love attending concerts"
jazz,2000s,Upbeat and Energetic,Rarely,"Yes, I love attending concerts"
jazz,2020s,Romantic and Smooth,Rarely,"No, I prefer not to attend concerts"
j-pop,1980s,Upbeat and Energetic,Occasionally,"No, I prefer not to attend concerts"
indie/alternative,1980s,Emotional and Deep,Frequently,"Sometimes, depending on the artist or event"
metal,1970s,Romantic and Smooth,Never,"No, I prefer not to attend concerts"
hip-hop/rap,2000s,Relaxing and Chill,Rarely,"Sometimes, depending on the artist or event"
pop indonesia,2010s,Romantic and Smooth,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
punk,2020s,Emotional and Deep,Occasionally,"No, I prefer not to attend concerts"
r&b,2010s,Upbeat and Energetic,Frequently,"No, I prefer not to attend concerts"
soul,1990s,Romantic and Smooth,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
rock,2020s,Romantic and Smooth,Never,"No, I prefer not to attend concerts"
punk,1970s,Romantic and Smooth,Never,"Yes, I love attending concerts"
traditional & folk music,2020s,Relaxing and Chill,Occasionally,"Yes, I love attending concerts"
soul,1970s,Relaxing and Chill,Rarely,"No, I prefer not to attend concerts"
classical,2020s,Emotional and Deep,Frequently,"Sometimes, depending on the artist or event"
edm,2020s,Emotional and Deep,Frequently,"Sometimes, depending on the artist or event"
classical,1980s,Dark and Intense,Rarely,"No, I prefer not to attend concerts"
hip-hop/rap,2000s,Emotional and Deep,Frequently,"No, I prefer not to attend concerts"
metal,2010s,Upbeat and Energetic,Occasionally,"No, I prefer not to attend concerts"
blues,2010s,Dark and Intense,Frequently,"Sometimes, depending on the artist or event"
traditional & folk music,2000s,Dark and Intense,Rarely,"No, I prefer not to attend concerts"
pop indonesia,1970s,Relaxing and Chill,Frequently,"Yes, I love attending concerts"
country,2000s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
dangdut,1970s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
country,1980s,Relaxing and Chill,Rarely,"Yes, I love attending concerts"
classical,2010s,Romantic and Smooth,Never,"No, I prefer not to attend concerts"
dangdut,2020s,Romantic and Smooth,Occasionally,"Yes, I love attending concerts"
soul,1970s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
j-pop,2010s,Romantic and Smooth,Frequently,"No, I prefer not to attend concerts"
hip-hop/rap,1980s,Romantic and Smooth,Rarely,"Sometimes, depending on the artist or event"
ballad,2000s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
r&b,2010s,Romantic and Smooth,Occasionally,"Sometimes, depending on the artist or event"
blues,2010s,Upbeat and Energetic,Frequently,"No, I prefer not to attend concerts"
country,1970s,Dark and Intense,Never,"Sometimes, depending on the artist or event"
edm,2010s,Romantic and Smooth,Never,"Sometimes, depending on the artist or event"
classical,2020s,Emotional and Deep,Rarely,"No, I prefer not to attend concerts"
edm,1980s,Emotional and Deep,Never,"No, I prefer not to attend concerts"
jazz,1970s,Upbeat and Energetic,Rarely,"Sometimes, depending on the artist or event"
pop indonesia,2020s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
edm,2000s,Upbeat and Energetic,Never,"No, I prefer not to attend concerts"
dangdut,1990s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
indie/alternative,1970s,Romantic and Smooth,Never,"Sometimes, depending on the artist or event"
edm,1970s,Dark and Intense,Rarely,"Sometimes, depending on the artist or event"
rock,1990s,Dark and Intense,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
blues,1990s,Dark and Intense,Frequently,"Sometimes, depending on the artist or event"
pop indonesia,1990s,Romantic and Smooth,Never,"No, I prefer not to attend concerts"
rock,2020s,Relaxing and Chill,Never,"Yes, I love attending concerts"
classical,2010s,Dark and Intense,Never,"Sometimes, depending on the artist or event"
k-pop,1990s,Dark and Intense,Frequently,"Sometimes, depending on the artist or event"
indie/alternative,1970s,Romantic and Smooth,Rarely,"No, I prefer not to attend concerts"
dangdut,2010s,Relaxing and Chill,Never,"No, I prefer not to attend concerts"
r&b,1970s,Emotional and Deep,Occasionally,"Sometimes, depending on the artist or event"
pop indonesia,2000s,Emotional and Deep,Frequently,"Sometimes, depending on the artist or event"
metal,2020s,Emotional and Deep,Frequently,"Sometimes, depending on the artist or event"
r&b,1990s,Relaxing and Chill,Rarely,"No, I prefer not to attend concerts"
reggae,1980s,Romantic and Smooth,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
classical,2000s,Relaxing and Chill,Occasionally,"Sometimes, depending on the artist or event"
traditional & folk music,1980s,Romantic and Smooth,Rarely,"Yes, I love attending concerts"
rock,1980s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
dangdut,1970s,Dark and Intense,Rarely,"No, I prefer not to attend concerts"
r&b,2000s,Upbeat and Energetic,Rarely,"No, I prefer not to attend concerts"
reggae,2000s,Dark and Intense,Rarely,"No, I prefer not to attend concerts"
blues,1970s,Relaxing and Chill,Rarely,"Yes, I love attending concerts"
k-pop,2020s,Emotional and Deep,Occasionally,"Sometimes, depending on the artist or event"
edm,2000s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
